Preparation,Application,Examination,Overall,course,min_category,atrisk
92.0,92.0,97.44186046511628,92.0,winter2025,Preparation,False
73.52666666666667,80.9,77.85088919288646,73.52666666666667,winter2025,Preparation,False
68.50666666666667,73.4,97.47674418604652,68.50666666666667,winter2025,Preparation,False
100.0,96.0,82.77086183310533,82.77086183310533,winter2025,Examination,False
53.653333333333336,87.833,80.35225718194253,53.653333333333336,winter2025,Preparation,True
92.0,96.733,100.0,92.0,winter2025,Preparation,False
99.66666666666669,99.0,89.20998632010945,89.20998632010945,winter2025,Examination,False
92.0,100.0,100.0,92.0,winter2025,Preparation,False
96.0,96.0,100.0,96.0,winter2025,Preparation,False
96.0,94.5,97.2311901504788,94.5,winter2025,Application,False
100.0,99.0,99.8139534883721,99.0,winter2025,Application,False
100.0,99.0,100.0,99.0,winter2025,Application,False
100.0,100.0,96.31395348837209,96.31395348837209,winter2025,Examination,False
69.2,79.6,90.63679890560874,69.2,winter2025,Preparation,False
100.0,100.0,100.0,100.0,winter2025,Preparation,False
100.0,100.0,98.69117647058823,98.69117647058823,winter2025,Examination,False
100.0,99.0,96.04651162790698,96.04651162790698,winter2025,Examination,False
75.52666666666667,78.483,72.89740082079344,72.89740082079344,winter2025,Examination,False
94.46,93.0,94.16142270861832,93.0,winter2025,Application,False
82.77333333333333,88.667,91.20554035567714,82.77333333333333,winter2025,Preparation,False
91.18666666666667,99.0,93.41928864569083,91.18666666666667,winter2025,Preparation,False
58.0,50.5,90.22879616963064,50.5,winter2025,Application,True
84.32666666666665,98.083,82.47606019151846,82.47606019151846,winter2025,Examination,False
96.93333333333334,97.717,91.79958960328318,91.79958960328318,winter2025,Examination,False
96.0,96.0,98.74418604651163,96.0,winter2025,Preparation,False
100.0,99.0,99.55642954856361,99.0,winter2025,Application,False
80.40666666666667,94.4,80.48016415868673,80.40666666666667,winter2025,Preparation,False
100.0,98.0,94.51778385772914,94.51778385772914,winter2025,Examination,False
90.66,96.4,97.4186046511628,90.66,winter2025,Preparation,False
92.0,92.0,98.45348837209302,92.0,winter2025,Preparation,False
94.56666666666668,71.0,87.59302325581396,71.0,winter2025,Application,False
95.52666666666669,99.0,98.83720930232558,95.52666666666669,winter2025,Preparation,False
100.0,100.0,100.0,100.0,winter2025,Preparation,False
96.0,100.0,96.78522571819425,96.0,winter2025,Preparation,False
100.0,100.0,97.9001367989056,97.9001367989056,winter2025,Examination,False
95.66666666666669,98.0,95.25581395348837,95.25581395348837,winter2025,Examination,False
92.0,99.0,96.21751025991792,92.0,winter2025,Preparation,False
96.0,100.0,96.78522571819425,96.0,winter2025,Preparation,False
100.0,99.0,92.90629274965801,92.90629274965801,winter2025,Examination,False
78.86666666666667,92.683,95.34883720930233,78.86666666666667,winter2025,Preparation,False
99.66666666666669,100.0,96.61080711354309,96.61080711354309,winter2025,Examination,False
80.0,80.0,98.52941176470588,80.0,winter2025,Preparation,False
100.0,93.5,94.60499316005472,93.5,winter2025,Application,False
96.0,100.0,95.56976744186046,95.56976744186046,winter2025,Examination,False
95.33333333333334,99.0,100.0,95.33333333333334,winter2025,Preparation,False
96.0,96.4,95.72571819425445,95.72571819425445,winter2025,Examination,False
88.0,88.75,85.96169630642954,85.96169630642954,winter2025,Examination,False
92.0,96.0,95.04103967168263,92.0,winter2025,Preparation,False
99.66666666666669,100.0,100.0,99.66666666666669,winter2025,Preparation,False
98.0,98.0,98.63953488372093,98.0,winter2025,Preparation,False
100.0,93.4,99.41860465116278,93.4,winter2025,Application,False
96.13333333333334,78.35,86.82694938440493,78.35,winter2025,Application,False
95.66666666666669,96.0,98.63953488372093,95.66666666666669,winter2025,Preparation,False
98.53333333333335,92.65,93.95348837209302,92.65,winter2025,Application,False
86.36666666666667,100.0,80.79445964432286,80.79445964432286,winter2025,Examination,False
96.0,90.0,92.1751025991792,90.0,winter2025,Application,False
87.2,89.0,97.67441860465117,87.2,winter2025,Preparation,False
95.2,97.0,98.24897400820794,95.2,winter2025,Preparation,False
98.86666666666667,100.0,96.51162790697674,96.51162790697674,winter2025,Examination,False
96.0,92.5,98.63953488372093,92.5,winter2025,Application,False
96.0,100.0,100.0,96.0,winter2025,Preparation,False
94.86666666666667,77.0,95.66279069767442,77.0,winter2025,Application,False
97.6,90.767,94.31326949384405,90.767,winter2025,Application,False
76.25,98.0,95.04103967168263,76.25,winter2025,Preparation,False
92.34,100.0,93.37277701778385,92.34,winter2025,Preparation,False
85.88,75.1,85.62175102599178,75.1,winter2025,Application,False
98.96,99.9,97.67441860465117,97.67441860465117,winter2025,Examination,False
56.28,80.0,70.53488372093022,56.28,winter2025,Preparation,True
84.76,99.0,91.86046511627907,84.76,winter2025,Preparation,False
94.96,95.0,92.79138166894664,92.79138166894664,winter2025,Examination,False
75.64,91.0,92.36046511627907,75.64,winter2025,Preparation,False
54.8,85.15,51.731190150478795,51.731190150478795,winter2025,Examination,True
84.26666666666667,97.0,96.88030095759234,84.26666666666667,winter2025,Preparation,False
96.0,94.0,90.65663474692202,90.65663474692202,winter2025,Examination,False
95.6,97.5,97.79172366621066,95.6,winter2025,Preparation,False
80.0,84.5,77.55198358413132,77.55198358413132,winter2025,Examination,False
96.0,99.0,97.67441860465117,96.0,winter2025,Preparation,False
96.0,97.4,94.04651162790698,94.04651162790698,winter2025,Examination,False
96.0,99.0,98.63953488372093,96.0,winter2025,Preparation,False
92.0,99.0,96.24897400820794,92.0,winter2025,Preparation,False
99.2,99.0,93.57045143638851,93.57045143638851,winter2025,Examination,False
100.0,96.0,96.69562243502051,96.0,winter2025,Application,False
100.0,98.96700000000001,97.45759233926128,97.45759233926128,winter2025,Examination,False
38.9,56.467,83.71819425444596,38.9,winter2025,Preparation,True
96.0,91.5,92.1501367989056,91.5,winter2025,Application,False
96.48,90.8,93.07216142270862,90.8,winter2025,Application,False
100.0,97.0,99.32216142270862,97.0,winter2025,Application,False
96.0,87.0,92.11354309165526,87.0,winter2025,Application,False
96.0,99.0,98.63953488372093,96.0,winter2025,Preparation,False
96.0,100.0,100.0,96.0,winter2025,Preparation,False
92.0,100.0,98.83720930232558,92.0,winter2025,Preparation,False
100.0,99.0,98.34541723666212,98.34541723666212,winter2025,Examination,False
96.0,95.0,96.31429548563611,95.0,winter2025,Application,False
96.0,100.0,98.83720930232558,96.0,winter2025,Preparation,False
