Midterm,Final,Project 1,Project 2,Programming Assignment 1,Programming Assignment 2,Programming Assignment 3,Programming Assignment 4,Programming Assignment 5,Programming Assignment 6,Reading Quiz 2025-01-08,Reading Quiz 2025-01-10,Reading Quiz 2025-01-13,Reading Quiz 2025-01-15,Reading Quiz 2025-01-17,Reading Quiz 2025-01-22,Reading Quiz 2025-01-24,Reading Quiz 2025-01-27,Reading Quiz 2025-01-29,Reading Quiz 2025-01-31,Reading Quiz 2025-02-03,Reading Quiz 2025-02-05,Reading Quiz 2025-02-07,Reading Quiz 2025-02-10,Reading Quiz 2025-02-12,Reading Quiz 2025-02-14,Reading Quiz 2025-02-19,Reading Quiz 2025-02-21,Reading Quiz 2025-02-24,Reading Quiz 2025-02-26,Reading Quiz 2025-02-28,Reading Quiz 2025-03-03,Reading Quiz 2025-03-05,Reading Quiz 2025-03-07,Reading Quiz 2025-03-10,Preparation,Application,Examination,Total,quarter,year,course,exam_type,remote,min_category,atrisk
1.0,0.9267441860465117,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,99.0,96.33720930232559,96.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.9294117647058824,0.8413953488372093,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,97.0,88.5403556771546,88.5403556771546,winter,2025,winter2025,inperson,in person,Examination,False
1.0,0.9495348837209302,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,98.0,97.47674418604652,96.0,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.8565116279069767,0.87,0.55,1.0,1.0,0.995,1.0,0.9,1.0,0.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.2,87.35,92.82558139534883,87.2,winter,2025,winter2025,inperson,in person,Preparation,False
0.9294117647058824,0.9690697674418605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,95.9155266757866,95.9155266757866,winter,2025,winter2025,inperson,in person,Examination,False
1.0,0.9534883720930233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,97.67441860465117,97.67441860465117,winter,2025,winter2025,inperson,in person,Examination,False
0.9823529411764705,0.9295348837209302,0.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,92.0,79.95,95.59439124487004,79.95,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9225581395348837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,96.12790697674419,96.12790697674419,winter,2025,winter2025,inperson,in person,Examination,False
0.9294117647058824,0.9286046511627907,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,99.0,92.90082079343365,92.90082079343365,winter,2025,winter2025,inperson,in person,Examination,False
0.8588235294117647,0.9627906976744186,0.9,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.82666666666665,89.0,93.6798905608755,89.0,winter,2025,winter2025,inperson,in person,Application,False
0.9294117647058824,0.8604651162790697,0.95,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,60.0,97.0,89.4938440492476,60.0,winter,2025,winter2025,inperson,in person,Preparation,True
0.9352941176470588,0.8837209302325582,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.0,1.0,87.32,99.0,90.95075239398085,87.32,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.9948837209302326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,99.74418604651163,99.74418604651163,winter,2025,winter2025,inperson,in person,Examination,False
0.8823529411764706,0.9225581395348837,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.66666666666669,96.4,91.25068399452805,91.25068399452805,winter,2025,winter2025,inperson,in person,Examination,False
0.9411764705882353,0.9413953488372092,0.9,0.85,1.0,1.0,0.99,0.9933,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0,94.833,94.13406292749657,88.0,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.9495348837209302,0.82,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.96,1.0,0.0,1.0,1.0,1.0,1.0,95.04,93.4,97.47674418604652,93.4,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9913953488372094,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.96,1.0,1.0,1.0,1.0,0.0,1.0,95.04,96.0,99.56976744186048,95.04,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.937906976744186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,96.8953488372093,96.8953488372093,winter,2025,winter2025,inperson,in person,Examination,False
0.9941176470588234,0.9520930232558139,0.9,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,95.0,97.31053351573186,95.0,winter,2025,winter2025,inperson,in person,Application,False
0.9352941176470588,0.9302325581395349,0.95,1.0,1.0,0.85,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,91.33333333333331,95.0,93.27633378932968,91.33333333333331,winter,2025,winter2025,inperson,in person,Preparation,False
0.8058823529411764,0.7186046511627907,0.1,1.0,1.0,0.9,0.97,0.0,0.85,0.95,0.5,1.0,1.0,0.0,0.8,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.8833333333333333,0.0,0.0,1.0,1.0,0.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,57.26666666666667,68.7,76.22435020519836,57.26666666666667,winter,2025,winter2025,inperson,in person,Preparation,True
0.711764705882353,0.9130232558139535,0.82,1.0,1.0,1.0,0.99,0.97,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.91,1.0,1.0,0.91,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,89.61333333333332,96.0,86.27086183310534,86.27086183310534,winter,2025,winter2025,inperson,in person,Examination,False
1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,98.83720930232558,98.83720930232558,winter,2025,winter2025,inperson,in person,Examination,False
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.9411764705882353,0.9767441860465116,0.95,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,89.0,96.78522571819425,89.0,winter,2025,winter2025,inperson,in person,Application,False
0.9411764705882353,0.8565116279069767,0.1,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,96.0,79.0,89.88440492476059,79.0,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9976744186046511,0.95,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,91.0,99.88372093023256,91.0,winter,2025,winter2025,inperson,in person,Application,False
0.9411764705882353,0.9651162790697675,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,97.0,95.91313269493844,95.91313269493844,winter,2025,winter2025,inperson,in person,Examination,False
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.8411764705882353,0.8416279069767442,1.0,1.0,1.0,1.0,0.965,0.9833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,84.0,99.483,84.1515047879617,84.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.9823529411764705,0.8867441860465117,0.9,0.85,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.33333333333331,85.0,93.45485636114913,85.0,winter,2025,winter2025,inperson,in person,Application,False
0.7294117647058824,0.944186046511628,1.0,0.0,1.0,1.0,1.0,0.9517,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.0,0.0,0.9700000000000001,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,67.74666666666667,79.017,89.04924760601915,67.74666666666667,winter,2025,winter2025,inperson,in person,Preparation,True
